ESTACION,LATITUD,LONGITUD,FUENTE
AMAZONAS,-3.76668,-73.25308,HTML_EMBEDDED
PUENTE ITAYA,-4.22513,-73.48251,HTML_EMBEDDED
PUERTO ALMENDRA,-3.82743,-73.37741,HTML_EMBEDDED
SAN ROQUE,-3.78667,-73.29333,HTML_EMBEDDED
SEDA LORETO,-3.7528,-73.281,HTML_EMBEDDED
MORALILLO,-3.89967,-73.33833,HTML_EMBEDDED
ANGAMOS,-5.1512,-72.8752,HTML_EMBEDDED
ANGAMOS,-5.1498,-72.8771,HTML_EMBEDDED
BORJA,-4.4696,-77.5483,HTML_EMBEDDED
PUENTE INAMBARI,-13.18638,-70.38401,HTML_EMBEDDED
EL ESTRECHO,-2.453,-72.6812,HTML_EMBEDDED
EL ESTRECHO,-2.4467,-72.6643,HTML_EMBEDDED
SANTA CRUZ,-11.19827,-76.63487,HTML_EMBEDDED
ANTIOQUIA,-12.07773,-76.51359,HTML_EMBEDDED
CARAMPOMA,-11.65503,-76.51514,HTML_EMBEDDED
SHEQUE,-11.66095,-76.5023,HTML_EMBEDDED
MILLOC,-11.57046,-76.35017,HTML_EMBEDDED
MILLOC,-11.57131,-76.34995,HTML_EMBEDDED
CASAPALCA,-11.63804,-76.23332,HTML_EMBEDDED
RIO BLANCO,-11.73447,-76.25967,HTML_EMBEDDED
LANGA,-12.12645,-76.42108,HTML_EMBEDDED
AUTISHA,-11.73815,-76.61103,HTML_EMBEDDED
AUTISHA,-11.73523,-76.60659,HTML_EMBEDDED
SAN JOSE DE PARAC,-11.80053,-76.25811,HTML_EMBEDDED
SAN MATEO DE OTAO,-11.847,-76.5636,HTML_EMBEDDED
HUANCATA,-12.18618,-76.24066,HTML_EMBEDDED
SANTIAGO DE TUNA,-11.9832,-76.5242,HTML_EMBEDDED
AMBAR,-10.75484,-77.2668,HTML_EMBEDDED
PAMPA LIBRE,-10.86578,-76.97,HTML_EMBEDDED
PACHAMACHAY,-11.06525,-76.9141,HTML_EMBEDDED
PACCHO,-10.95602,-76.93473,HTML_EMBEDDED
PARQUIN,-10.96665,-76.71983,HTML_EMBEDDED
LAGUNA SURASACA,-10.5213,-76.7885,HTML_EMBEDDED
LAGUNA SURASACA,-10.5238,-76.7867,HTML_EMBEDDED
LAGUNA COCHAQUILLO,-10.80394,-76.65537,HTML_EMBEDDED
OYON,-10.66769,-76.7687,HTML_EMBEDDED
ANDAJES,-10.78333,-76.9,HTML_EMBEDDED
YAURICOCHA,-12.31478,-75.71209,HTML_EMBEDDED
AYAVIRI,-12.38208,-76.13672,HTML_EMBEDDED
CARANIA,-12.3444,-75.87215,HTML_EMBEDDED
VILCA,-12.11457,-75.82617,HTML_EMBEDDED
HUAÑEC,-12.29359,-76.13902,HTML_EMBEDDED
SAN PEDRO DE PILAS,-12.4548,-76.22559,HTML_EMBEDDED
TANTA,-12.11667,-76.01667,HTML_EMBEDDED
AMAZONAS,-3.76397,-73.25492,HTML_EMBEDDED
SANTA MARIA DE NANAY,-3.8891,-73.6961,HTML_EMBEDDED
MANITI,-3.5203,-72.8409,HTML_EMBEDDED
TIMICURILLO,-3.5237,-73.0834,HTML_EMBEDDED
BELLAVISTA,-3.4786,-73.068,HTML_EMBEDDED
BELLAVISTA,-3.4788,-73.068,HTML_EMBEDDED
LA LIBERTAD,-3.4863,-73.2337,HTML_EMBEDDED
LA LIBERTAD,-3.4863,-73.2339,HTML_EMBEDDED
SANTA CRUZ,-3.5169,-73.1526,HTML_EMBEDDED
SANTA CRUZ,-3.51725,-73.15411,HTML_EMBEDDED
SANTA CLOTILDE,-2.48757,-73.67919,HTML_EMBEDDED
SANTA CLOTILDE,-2.487,-73.679,HTML_EMBEDDED
SANTO TOMAS PUNCHANA,-3.69279,-73.25625,HTML_EMBEDDED
ENAPU PERU,-3.72722,-73.23694,HTML_EMBEDDED
SHANUSI,-6.06703,-76.2505,HTML_EMBEDDED
LAGUNAS,-5.2194,-75.6661,HTML_EMBEDDED
BORJA,-4.47,-77.548,HTML_EMBEDDED
NAUTA,-4.5146,-73.5831,HTML_EMBEDDED
SAN REGIS,-4.51301,-73.90751,HTML_EMBEDDED
SAN REGIS,-4.5132,-73.9076,HTML_EMBEDDED
SANTA RITA DE CASTILLA,-4.5922,-74.3806,HTML_EMBEDDED
PUERTO ALEGRIA,-4.11491,-70.05391,HTML_EMBEDDED
SANTA ROSA,-4.22636,-69.95629,HTML_EMBEDDED
SANTA ROSA,-4.2242,-69.9535,HTML_EMBEDDED
REQUENA,-5.04308,-73.83612,HTML_EMBEDDED
REQUENA,-5.0411,-73.84,HTML_EMBEDDED
FLOR DE PUNGA,-5.4077,-74.1569,HTML_EMBEDDED
FLOR DE PUNGA,-5.4055,-74.1591,HTML_EMBEDDED
TAMANCO,-5.7921,-74.289,HTML_EMBEDDED
BRETAÑA,-5.2539,-74.3444,HTML_EMBEDDED
BAGAZAN,-4.724,-73.5321,HTML_EMBEDDED
GENARO HERRERA,-4.902,-73.6715,HTML_EMBEDDED
CONTAMANA,-7.3518,-75.0109,HTML_EMBEDDED
CONTAMANA,-7.3526,-75.0064,HTML_EMBEDDED
PAMPA UMALZO (TITIJONES),-16.8439,-70.5494,HTML_EMBEDDED
TUMILACA,-17.1277,-70.8369,HTML_EMBEDDED
OTORA,-17.0073,-70.8536,HTML_EMBEDDED
OTORA,-17.0041,-70.8504,HTML_EMBEDDED
ICHUÑA,-16.14109,-70.5427,HTML_EMBEDDED
ENTAZ,-10.72244,-75.26238,HTML_EMBEDDED
MIRAFLORES,-5.17528,-80.61654,HTML_EMBEDDED
PORCULLA,-5.83964,-79.50572,HTML_EMBEDDED
HACIENDA SHUMAYA,-5.36492,-79.36056,HTML_EMBEDDED
TULUCE,-5.47718,-79.34742,HTML_EMBEDDED
SONDORILLO,-5.33922,-79.41575,HTML_EMBEDDED
HACIENDA BIGOTE,-5.3209,-79.7857,HTML_EMBEDDED
ALAMOR,-4.47749,-80.3979,HTML_EMBEDDED
ALAMOR,-4.47401,-80.39915,HTML_EMBEDDED
PANANGA,-4.51556,-80.73945,HTML_EMBEDDED
MUELLE LAGO,-15.83361,-70.01694,HTML_EMBEDDED
PROGRESO,-14.6717,-70.3678,HTML_EMBEDDED
DESAGUADERO,-16.56327,-69.03682,HTML_EMBEDDED
CALLACAME,-16.57225,-69.31697,HTML_EMBEDDED
CAPAZO,-17.1827,-69.7391,HTML_EMBEDDED
COJATA,-15.0118,-69.3612,HTML_EMBEDDED
RAMIS,-15.2558,-69.8739,HTML_EMBEDDED
TARACO,-15.31167,-69.97247,HTML_EMBEDDED
SANTA LUCIA,-15.6941,-70.5993,HTML_EMBEDDED
PUENTE AYAVIRI,-14.89249,-70.58544,HTML_EMBEDDED
SANTA ROSA,-14.6178,-70.79278,HTML_EMBEDDED
CHUQUIBAMBILLA,-14.7879,-70.7285,HTML_EMBEDDED
ISLA SOTO,-15.56221,-69.48898,HTML_EMBEDDED
JULIACA,-15.4441,-70.2078,HTML_EMBEDDED
PUENTE ISLA CABANILLAS,-15.4718,-70.224,HTML_EMBEDDED
LAMPA,-15.4437,-70.2092,HTML_EMBEDDED
CUYO CUYO,-14.4888,-69.55,HTML_EMBEDDED
LIMBANI,-14.1397,-69.687,HTML_EMBEDDED
LIMBANI,-14.1481,-69.6902,HTML_EMBEDDED
TAMBOPATA,-14.22529,-69.16178,HTML_EMBEDDED
ISLA SUANA,-16.3299,-68.85034,HTML_EMBEDDED
JOSE OLAYA,-7.40711,-76.41389,HTML_EMBEDDED
CUZCO-BIAVO,-7.25442,-76.4771,HTML_EMBEDDED
BIAVO,-7.25497,-76.47778,HTML_EMBEDDED
LA UNION,-7.16319,-76.49275,HTML_EMBEDDED
NUEVO LIMA,-7.09628,-76.47233,HTML_EMBEDDED
CUÑUMBUQUE,-6.50825,-76.48075,HTML_EMBEDDED
SHANAO,-6.41312,-76.60028,HTML_EMBEDDED
SHANAO,-6.41291,-76.60001,HTML_EMBEDDED
PACAYZAPA,-6.2818,-76.76171,HTML_EMBEDDED
HUAYABAMBA,-7.26356,-76.73494,HTML_EMBEDDED
CAMPANILLA,-7.48434,-76.65311,HTML_EMBEDDED
PICOTA,-6.91989,-76.33022,HTML_EMBEDDED
NARANJILLO,-5.80964,-77.39264,HTML_EMBEDDED
PELEJO,-6.21531,-75.8025,HTML_EMBEDDED
PUCALLPA - HUIMBAYOC,-6.45278,-75.84556,HTML_EMBEDDED
CUMBAZA,-6.47251,-76.38199,HTML_EMBEDDED
SAN ANTONIO,-6.41274,-76.4072,HTML_EMBEDDED
CANAL UCHUSUMA,-17.5807,-69.6264,HTML_EMBEDDED
BOCATOMA,-17.5802,-69.62672,HTML_EMBEDDED
PAUCARANI,-17.53291,-69.78039,HTML_EMBEDDED
CAIRANI,-17.28121,-70.36269,HTML_EMBEDDED
ARICOTA,-17.32913,-70.23731,HTML_EMBEDDED
CHUAPALCA ALTERNATIVA ALTA,-17.28727,-69.6435,HTML_EMBEDDED
CHUAPALCA,-17.2981,-69.6468,HTML_EMBEDDED
LA FRONTERA,-17.3824,-69.4864,HTML_EMBEDDED
CHUAPALCA,-17.3088,-69.6618,HTML_EMBEDDED
TALABAYA,-17.5526,-69.9868,HTML_EMBEDDED
VILACOTA,-17.07906,-70.04302,HTML_EMBEDDED
VILACOTA,-17.0786,-70.0424,HTML_EMBEDDED
CABO INGA,-3.97594,-80.40182,HTML_EMBEDDED
EL SALTO,-3.45171,-80.2802,HTML_EMBEDDED
MATAPALO,-3.68277,-80.19857,HTML_EMBEDDED
PUCALLPA,-8.41323,-74.57185,HTML_EMBEDDED
EL MARONAL,-8.44999,-75.09681,HTML_EMBEDDED
LETRAYOC,-13.65773,-75.74496,HTML_EMBEDDED
HUANCANO,-13.60118,-75.62102,HTML_EMBEDDED
ACOPALCA,-11.9873,-75.1035,HTML_EMBEDDED
CHIRANI,-10.86167,-75.00632,HTML_EMBEDDED
CHIRANI,-10.86167,-75.00632,HTML_EMBEDDED
PUERTO OCOPA,-11.1467,-74.3051,HTML_EMBEDDED
CARHUACAYAN,-11.20267,-76.28505,HTML_EMBEDDED
