CODIGO_ID,ESTACION,LATITUD,LONGITUD,TIPO_REPORTE
240302,PUERTO ALMENDRA,-3.82743,-73.37741,DIFERIDO
103052,SAN ROQUE,-3.78667,-73.29333,DIFERIDO
240106,SEDA LORETO,-3.7528,-73.281,DIFERIDO
103023,MORALILLO,-3.89967,-73.33833,DIFERIDO
240401,ANGAMOS,-5.1512,-72.8752,DIFERIDO
105078,ANGAMOS,-5.1498,-72.8771,DIFERIDO
104061,BORJA,-4.4696,-77.5483,DIFERIDO
113251,PUENTE INAMBARI,-13.18638,-70.38401,DIFERIDO
240402,EL ESTRECHO,-2.453,-72.6812,DIFERIDO
102006,EL ESTRECHO,-2.4467,-72.6643,DIFERIDO
111081,SANTA CRUZ,-11.19827,-76.63487,DIFERIDO
112124,ANTIOQUIA,-12.07773,-76.51359,DIFERIDO
111091,CARAMPOMA,-11.65503,-76.51514,DIFERIDO
111062,SHEQUE,-11.66095,-76.5023,DIFERIDO
202902,MILLOC,-11.57046,-76.35017,DIFERIDO
111144,MILLOC,-11.57131,-76.34995,DIFERIDO
111114,CASAPALCA,-11.63804,-76.23332,DIFERIDO
111061,RIO BLANCO,-11.73447,-76.25967,DIFERIDO
112082,LANGA,-12.12645,-76.42108,DIFERIDO
111077,AUTISHA,-11.73815,-76.61103,DIFERIDO
202903,AUTISHA,-11.73523,-76.60659,DIFERIDO
111093,SAN JOSE DE PARAC,-11.80053,-76.25811,DIFERIDO
111291,SAN MATEO DE OTAO,-11.847,-76.5636,DIFERIDO
112080,HUANCATA,-12.18618,-76.24066,DIFERIDO
111092,SANTIAGO DE TUNA,-11.9832,-76.5242,DIFERIDO
110042,AMBAR,-10.75484,-77.2668,DIFERIDO
110053,PAMPA LIBRE,-10.86578,-76.97,DIFERIDO
111084,PACHAMACHAY,-11.06525,-76.9141,DIFERIDO
110056,PACCHO,-10.95602,-76.93473,DIFERIDO
110063,PARQUIN,-10.96665,-76.71983,DIFERIDO
202601,LAGUNA SURASACA,-10.5213,-76.7885,DIFERIDO
110059,LAGUNA SURASACA,-10.5238,-76.7867,DIFERIDO
110092,LAGUNA COCHAQUILLO,-10.80394,-76.65537,DIFERIDO
110020,OYON,-10.66769,-76.7687,DIFERIDO
110057,ANDAJES,-10.78333,-76.9,DIFERIDO
112096,YAURICOCHA,-12.31478,-75.71209,DIFERIDO
112128,AYAVIRI,-12.38208,-76.13672,DIFERIDO
112133,CARANIA,-12.3444,-75.87215,DIFERIDO
112135,VILCA,-12.11457,-75.82617,DIFERIDO
112127,HUAÑEC,-12.29359,-76.13902,DIFERIDO
112081,SAN PEDRO DE PILAS,-12.4548,-76.22559,DIFERIDO
112130,TANTA,-12.11667,-76.01667,DIFERIDO
103057,AMAZONAS,-3.76397,-73.25492,DIFERIDO
240001,SANTA MARIA DE NANAY,-3.8891,-73.6961,DIFERIDO
103009,MANITI,-3.5203,-72.8409,DIFERIDO
240202,TIMICURILLO,-3.5237,-73.0834,DIFERIDO
240111,BELLAVISTA,-3.4786,-73.068,DIFERIDO
103012,BELLAVISTA,-3.4788,-73.068,DIFERIDO
103014,LA LIBERTAD,-3.4863,-73.2337,DIFERIDO
240112,LA LIBERTAD,-3.4863,-73.2339,DIFERIDO
103013,SANTA CRUZ,-3.5169,-73.1526,DIFERIDO
240109,SANTA CRUZ,-3.51725,-73.15411,DIFERIDO
102009,SANTA CLOTILDE,-2.48757,-73.67919,DIFERIDO
240110,SANTA CLOTILDE,-2.487,-73.679,DIFERIDO
240304,SANTO TOMAS PUNCHANA,-3.69279,-73.25625,DIFERIDO
